account,amount,merchant,transaction_type,location,month,day,hour,minute,weekend,account_amount_delta,account_hourly_transaction_sum,merchant_amount_delta,merchant_hourly_transaction_sum,suspected_anomaly
ACC11,8797.88,MerchantH,Transfer,New York,1,1,10,35,1,-16453.29,2383675.68,-49890.36,3878605.48,0
ACC5,13483.83,MerchantH,Purchase,Tokyo,4,4,11,2,0,-21607.58,1727534.44,10963.3,3333022.7199999997,0
ACC11,85116.52,MerchantF,Purchase,New York,4,19,13,32,0,78771.02,1326415.17,-7286.509999999995,2024576.98,0
ACC6,4505.36,MerchantE,Transfer,New York,1,14,0,38,1,-81509.4,1096429.61,-56215.05,1847180.94,0
ACC10,30057.74,MerchantF,Purchase,New York,6,2,18,14,0,-29765.44,2395955.75,10851.52,3424389.47,0
ACC9,23506.2,MerchantD,Transfer,London,2,2,22,54,0,-48575.95,2170672.91,-70650.85,2939609.11,0
ACC6,57912.3,MerchantI,Withdrawal,London,3,17,21,13,0,10441.660000000003,1274634.67,-15056.669999999998,1598311.42,0
ACC12,1862.41,MerchantG,Transfer,Tokyo,1,15,14,54,1,-77742.03,1259863.42,-56643.56,1211175.6400000001,0
ACC11,49250.47,MerchantA,Transfer,Los Angeles,3,31,5,5,0,-19050.78,786768.8300000001,37003.55,1314978.13,0
ACC1,72690.71,MerchantF,Transfer,San Francisco,1,3,23,31,0,23360.15000000001,2311845.01,9379.450000000004,3253963.18,0
ACC15,76291.78,MerchantF,Transfer,Los Angeles,4,3,21,37,0,19485.019999999997,2483133.82,38841.96,3499140.91,0
ACC7,75245.97,MerchantD,Transfer,Los Angeles,2,3,16,0,0,36095.18,2071938.83,60725.66,4336227.16,0
ACC11,86355.42,MerchantD,Withdrawal,San Francisco,3,22,13,13,0,58858.95,1032935.84,-1685.050000000003,1715397.01,0
ACC3,30678.36,MerchantD,Purchase,Tokyo,5,14,18,28,1,-23795.43,644960.03,-63895.92,1750391.22,0
ACC2,6369.0,MerchantJ,Purchase,Los Angeles,4,28,22,49,0,-50641.39,723070.3,-33602.07,1484301.43,0
ACC15,82135.13,MerchantF,Withdrawal,Tokyo,4,14,18,24,0,32926.380000000005,1075600.49,32926.380000000005,1212915.48,0
ACC11,81603.8,MerchantI,Purchase,London,3,29,4,4,0,76294.48000000001,1043506.41,57572.5,1484678.15,0
ACC10,1570.99,MerchantE,Withdrawal,New York,6,1,23,31,0,-10131.08,1588466.91,-39859.950000000004,3780063.38,0
ACC8,32116.83,MerchantF,Purchase,Tokyo,1,27,7,57,0,-57288.619999999995,1064226.26,-55921.42,1597972.74,0
ACC7,25843.28,MerchantC,Transfer,New York,5,17,19,7,0,-49778.869999999995,1090564.33,-32183.4,1631478.01,0
ACC12,49162.13,MerchantI,Transfer,Los Angeles,2,3,11,11,0,3072.8399999999965,2572001.77,-49845.79,3988387.65,0
ACC6,19764.88,MerchantI,Purchase,San Francisco,4,3,2,56,0,-23179.219999999998,2637839.37,3073.260000000002,3892505.97,0
ACC15,70884.24,MerchantC,Withdrawal,Tokyo,5,16,11,25,0,47053.920000000006,1113564.45,70066.5,2029466.55,0
ACC12,46172.57,MerchantH,Transfer,London,9,4,20,43,0,7005.610000000001,2496993.51,40561.85,2951483.74,0
ACC14,72748.4,MerchantJ,Transfer,Tokyo,3,18,13,15,1,-8973.430000000008,1050493.28,31107.959999999992,1914990.35,0
ACC2,76073.94,MerchantE,Transfer,San Francisco,4,25,10,14,0,40442.23,937175.16,73270.39,1373093.95,0
ACC9,78945.12,MerchantI,Transfer,Tokyo,1,17,18,57,0,5876.919999999998,1224999.92,3520.979999999996,1481755.76,0
ACC14,95398.35,MerchantH,Withdrawal,Tokyo,3,13,16,49,0,78973.90000000001,1113411.74,3334.920000000013,1885082.6,0
ACC12,27341.53,MerchantH,Withdrawal,San Francisco,5,25,20,3,0,-51141.149999999994,997569.7,19431.86,1120353.03,0
ACC9,24434.96,MerchantJ,Purchase,San Francisco,8,3,11,19,0,4350.169999999998,2225633.12,-53309.909999999996,2845586.25,0
ACC13,93145.94,MerchantA,Purchase,London,1,2,7,29,0,44101.670000000006,2422110.87,73796.88,4012237.5,0
ACC15,37062.87,MerchantI,Transfer,San Francisco,9,3,12,21,1,-25321.14,2344177.23,-35118.77,3133292.74,0
ACC2,28435.82,MerchantA,Transfer,New York,7,1,1,41,1,-23472.800000000003,2934384.53,-6487.800000000003,3260075.87,0
ACC14,74799.23,MerchantC,Transfer,San Francisco,2,26,7,14,1,13306.939999999995,756571.77,31334.96,1350696.5999999999,0
ACC4,99870.43,MerchantD,Purchase,London,1,5,5,46,0,42061.13999999999,2541321.98,36617.73999999999,3928498.31,0
ACC13,10225.22,MerchantE,Withdrawal,Tokyo,1,23,13,50,0,-15525.22,928810.16,-20514.550000000003,1646933.59,0
ACC5,74939.89,MerchantH,Withdrawal,San Francisco,3,18,22,59,1,-19897.320000000007,1205681.9,61419.65,2002714.56,0
ACC12,54152.73,MerchantA,Withdrawal,San Francisco,8,4,7,10,0,47864.83,2246563.82,-34192.21,3713319.74,0
ACC4,84956.54,MerchantG,Transfer,London,5,17,16,45,0,25124.299999999996,1199421.34,77036.60999999999,1557210.01,0
ACC15,51712.75,MerchantC,Purchase,Los Angeles,1,16,23,42,0,-34797.990000000005,643625.11,40507.57,1413688.12,0
ACC15,73507.73,MerchantB,Withdrawal,Los Angeles,3,13,21,22,0,49877.25,1286118.07,40423.6,1626179.52,0
ACC15,10195.39,MerchantH,Purchase,San Francisco,7,2,16,9,1,-31417.309999999998,2765149.48,552.4099999999999,2789414.17,0
ACC9,34502.83,MerchantC,Purchase,Tokyo,2,13,8,11,0,-57925.5,1255690.88,-12832.909999999996,1738321.1300000001,0
ACC8,86562.82,MerchantB,Transfer,New York,4,4,20,46,0,38462.47000000001,2409918.87,20632.910000000003,3951713.69,0
ACC8,97106.11,MerchantG,Purchase,San Francisco,1,1,11,59,1,24876.64,2754048.83,92680.01,3677167.67,0
ACC4,53988.88,MerchantC,Transfer,London,1,1,11,48,1,40752.58,2586771.2,24269.679999999997,4322656.31,0
ACC5,68327.98,MerchantA,Purchase,New York,1,16,21,13,0,14678.249999999993,1050893.38,57132.399999999994,1965806.94,0
ACC10,48727.79,MerchantI,Transfer,New York,7,2,23,31,1,16641.58,2040040.83,-20155.749999999993,2813301.82,0
ACC8,49203.58,MerchantB,Transfer,Los Angeles,9,2,11,46,1,48370.94,2479717.27,16504.9,3941774.3,0
ACC15,96896.6,MerchantF,Withdrawal,Tokyo,5,3,19,28,0,31679.800000000003,3168532.07,50714.3,3994828.13,0
ACC14,59988.86,MerchantB,Withdrawal,Los Angeles,5,1,0,38,0,-18426.520000000004,2777702.66,-15943.759999999995,2970518.73,0
ACC15,66754.49,MerchantF,Purchase,New York,5,31,20,54,0,38015.98000000001,441617.29,23852.40000000001,1268615.5,0
